time,method,mass,conservation_error,l2_vs_cn,linf_vs_cn,min_c,max_c,tv,tv_ratio,overshoot_rel,negative_depth_rel,extrema_count
73.0,CN,0.25041202104755256,0.0009999847472787389,0.0,0.0,0.25066265409214034,0.250662696366924,7.618207692461354e-08,3.8091184050241494e-08,0.0,0.0,12
73.10000000000001,CN,0.25041202103056687,0.0009999848150418803,0.0,0.0,0.2506626710884401,0.25066271330400025,7.609242802519844e-08,3.804635942921021e-08,0.0,0.0,12
73.2,CN,0.25041202104750315,0.0009999847474758362,0.0,0.0,0.2506626541917229,0.2506626963481578,7.600290624631967e-08,3.800159836869002e-08,0.0,0.0,12
73.3,CN,0.25041202103059745,0.0009999848149198573,0.0,0.0,0.2506626711071975,0.25066271320460765,7.59134323735644e-08,3.7956861261323136e-08,0.0,0.0,12
73.4,CN,0.2504120210474533,0.0009999847476747051,0.0,0.0,0.2506626542908626,0.2506626963293461,7.582396860383867e-08,3.7912129205490326e-08,0.0,0.0,12
73.5,CN,0.25041202103062826,0.0009999848147969482,0.0,0.0,0.2506626711260046,0.25066271310566146,7.573450960807193e-08,3.786739953664614e-08,0.0,0.0,12
73.60000000000001,CN,0.25041202104740373,0.0009999847478724666,0.0,0.0,0.2506626543895599,0.25066269631048793,7.564505905000019e-08,3.782267408666557e-08,0.0,0.0,12
73.7,CN,0.2504120210306581,0.000999984814677804,0.0,0.0,0.2506626711448557,0.2506627130071542,7.555560610494894e-08,3.777794744319068e-08,0.0,0.0,12
73.8,CN,0.25041202104735416,0.0009999847480702284,0.0,0.0,0.2506626544878207,0.2506626962915873,7.546617641907005e-08,3.7733232429346435e-08,0.0,0.0,12
73.9,CN,0.25041202103068805,0.0009999848145584385,0.0,0.0,0.2506626711637534,0.2506627129090868,7.537674345803325e-08,3.768851577791696e-08,0.0,0.0,12
74.0,CN,0.2504120210473053,0.0009999847482651109,0.0,0.0,0.2506626545856465,0.250662696272644,7.528732970385477e-08,3.764380872995336e-08,0.0,0.0,12
74.10000000000001,CN,0.25041202103071825,0.0009999848144379654,0.0,0.0,0.25066267118269375,0.2506627128114536,7.519791561660938e-08,3.759910151545567e-08,0.0,0.0,12
74.2,CN,0.2504120210472568,0.0009999847484586648,0.0,0.0,0.25066265468303417,0.25066269625365317,7.510852589875938e-08,3.755440648570224e-08,0.0,0.0,12
74.3,CN,0.2504120210307482,0.0009999848143183783,0.0,0.0,0.25066267120167496,0.2506627127142509,7.501913529273097e-08,3.7509711011857906e-08,0.0,0.0,12
74.4,CN,0.250412021047209,0.0009999847486493398,0.0,0.0,0.2506626547799947,0.250662696234624,7.492976983325406e-08,3.7465028111337386e-08,0.0,0.0,12
74.5,CN,0.2504120210307785,0.000999984814197684,0.0,0.0,0.2506626712206988,0.25066271261747874,7.484040948080306e-08,3.742034776433958e-08,0.0,0.0,12
74.60000000000001,CN,0.25041202104716087,0.0009999847488413435,0.0,0.0,0.2506626548765265,0.25066269621555337,7.47510775500615e-08,3.73756816282508e-08,0.0,0.0,12
74.7,CN,0.2504120210308074,0.0009999848140823046,0.0,0.0,0.25066267123976343,0.2506627125211338,7.466174700709871e-08,3.7331016186054066e-08,0.0,0.0,12
